Date of Message,File Name,Drive Link,Original Item Description,original price Rs. (A),35%Margin price Rs,Roud Off (B),Increaded Price,Our Price Rs(Round off to neareast divisible by 5),Modified Item Description,Extracted Codes (OCR)
2026-03-14,IMG-20260313-WA0037.jpg,,*Micro Gold Mangalsutra Set* Length- 38Inch Price -420rs FREE SHIPPING ALL OVER INDIA😊,420.0,147.0,147,567,565,*Micro Gold Mangalsutra Set* Length- 38Inch Price -565rs FREE SHIPPING ALL OVER INDIA😊,"Code-1160, SAC, M8OB, N21ON, 7821056, No.8550, L38 inch"
2026-03-14,IMG-20260315-WA0005.jpg,,*Premium quality Handmade Nath  Earcuff* *Price -530rs FREE SHIPPING ALL OVER INDIA😊,530.0,185.5,186,716,715,*Premium quality Handmade Nath  Earcuff* *Price -715rs FREE SHIPPING ALL OVER INDIA😊,"M1O2B, Code-1109, N265N, SAC, 8935077, No.6700"
2026-03-14,IMG-20260315-WA0006.jpg,,*Premium Quality  Thushi* Price -310 Rs FREE SHIPPING ALL OVER INDIA😊,310.0,108.5,108,418,420,*Premium Quality  Thushi* Price -420 Rs FREE SHIPPING ALL OVER INDIA😊,"Code-914, MGOA, NIS5N, 8916045, No.8420"
2026-03-14,IMG-20260315-WA0007.jpg,,*New Micro Gold  Mangalsutra Combo Set* Length- 34 Inch Price -560rs FREE SHIPPING ALL OVER INDIA😊,560.0,196.0,196,756,755,*New Micro Gold  Mangalsutra Combo Set* Length- 34 Inch Price -755rs FREE SHIPPING ALL OVER INDIA😊,"Code-1111, MTOBB, NZ8ON, 7812045, 7819534, No.4800, L34"
2026-03-14,IMG-20260315-WA0008.jpg,,*Micro Gold Mangalsutra combo Set* Length- 36 Inch Price -620rs FREE SHIPPING ALL OVER INDIA😊,620.0,217.0,217,837,835,*Micro Gold Mangalsutra combo Set* Length- 36 Inch Price -835rs FREE SHIPPING ALL OVER INDIA😊,"M12OB, N31ON, 5625078, No.9750, 4 O, L-36 Inch"
2026-03-14,VID-20260317-WA0029.mp4,,*Micro Gold Mangalsutra Set* Length- 36Inch Price -500rs FREE SHIPPING ALL OVER INDIA😊,500.0,175.0,175,675,675,*Micro Gold Mangalsutra Set* Length- 36Inch Price -675rs FREE SHIPPING ALL OVER INDIA😊,"A'C, M9TA., NZS0N, 4530067, No.3700, SAC, L-Solnch, MicroGold"
2026-03-14,VID-20260317-WA0030.mp4,,*Micro Gold Mangalsutra Combo Set* Length- 36Inch Price -490 rs FREE SHIPPING ALL OVER INDIA😊,490.0,171.5,172,662,660,*Micro Gold Mangalsutra Combo Set* Length- 36Inch Price -660 rs FREE SHIPPING ALL OVER INDIA😊,"M94B, N24SN, 9030058, Nozzoo, SAC, L36Inch"
2026-03-14,VID-20260317-WA0028.mp4,,*Micro Gold Mangalsutra Set* Length- 34 Inch Price -380rs FREE SHIPPING ALL OVER INDIA😊,380.0,133.0,133,513,515,*Micro Gold Mangalsutra Set* Length- 34 Inch Price -515rs FREE SHIPPING ALL OVER INDIA😊,"SAC, M7SA:, NI9ON, 3420578, No.7540, SAC, L-34lnch, MicroGold"
2026-03-14,IMG-20260316-WA0032.jpg,,✨Premium Quality South Fancy Necklace✨ Price - 790rs *FREE SHIPPING ALL OVER INDIA😊*,790.0,276.5,276,1066,1065,✨Premium Quality South Fancy Necklace✨ Price - 1065rs *FREE SHIPPING ALL OVER INDIA😊*,"M154B, N395N, Code-1195, SAC, 7658523, No.81170"
2026-03-14,IMG-20260315-WA0011.jpg,,✨Premium Quality South Fancy Necklace✨ Price - 810rs *FREE SHIPPING ALL OVER INDIA😊*,810.0,283.5,284,1094,1095,✨Premium Quality South Fancy Necklace✨ Price - 1095rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1196, M1S8B, N4OSN, SAC, 5461078, No.71250"
2026-03-14,IMG-20260315-WA0010.jpg,,✨Premium Quality South Fancy Necklace✨ Price - 630rs *FREE SHIPPING ALL OVER INDIA😊*,630.0,220.5,220,850,850,✨Premium Quality South Fancy Necklace✨ Price - 850rs *FREE SHIPPING ALL OVER INDIA😊*,"M122B, Code-1198, N315N, 5643078, No.9850"
2026-03-14,IMG-20260316-WA0041.jpg,,,0.0,0.0,0,0,0,,"M76B, Code-1117, NZOON, SAC, 7819523, No.8550, L-36 inch"
2026-03-14,IMG-20260316-WA0038.jpg,,,0.0,0.0,0,0,0,,"TS8B, Code-1137, N1SSN, 8914033, N0.2440, 6844d, 1#a, L-22 inch"
2026-03-14,IMG-20260315-WA0009.jpg,,*Micro Gold Short Mangalsutra* Length -18  Inch Price -200 Rs Free shipping all over India ☺️,200.0,70.0,70,270,270,*Micro Gold Short Mangalsutra* Length -18  Inch Price -270 Rs Free shipping all over India ☺️,"Code-1056, M38A, NIOON, 347578, No.250, L-18 Inch"
2026-03-16,IMG-20260316-WA0031.jpg,,*1 GM FORMING BRACELETS * Price - 730 rs FREE SHIPPING ALL OVER INDIA😊,730.0,255.5,255,985,985,*1 GM FORMING BRACELETS * Price - 985 rs FREE SHIPPING ALL OVER INDIA😊,"M142B, Code-1241, N36ON, SAC, 6548067, No.61500"
2026-03-16,IMG-20260316-WA0030.jpg,,*1 GM FORMING BRACELETS* Price - 750 rs FREE SHIPPING ALL OVER INDIA😊,750.0,262.5,262,1012,1010,*1 GM FORMING BRACELETS* Price - 1010 rs FREE SHIPPING ALL OVER INDIA😊,"M146B, Code-1242, N375N, 6749066, No.71200"
2026-03-16,IMG-20260316-WA0029.jpg,,*1 GM FORMING BRACELETS* Price - 750 rs FREE SHIPPING ALL OVER INDIA😊,750.0,262.5,262,1012,1010,*1 GM FORMING BRACELETS* Price - 1010 rs FREE SHIPPING ALL OVER INDIA😊,"Code-1243, SAC, M146B, N375N, 6749067, No.81200"
2026-03-16,IMG-20260316-WA0028.jpg,,*✨Premium Quality Short Necklace✨* Price - 430rs *FREE SHIPPING ALL OVER INDIA😊*,430.0,150.5,150,580,580,*✨Premium Quality Short Necklace✨* Price - 580rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1222, M8ZB, N21SN, 8921056, No.9650, 0 0"
2026-03-16,IMG-20260316-WA0027.jpg,,*✨Premium Quality Short Necklace✨* Price - 430rs *FREE SHIPPING ALL OVER INDIA😊*,430.0,150.5,150,580,580,*✨Premium Quality Short Necklace✨* Price - 580rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1223, M8ZB, N215N, 8921056, No.3650"
2026-03-16,IMG-20260316-WA0026.jpg,,*✨Premium Quality Short Necklace✨* Price - 900rs *FREE SHIPPING ALL OVER INDIA😊*,900.0,315.0,315,1215,1215,*✨Premium Quality Short Necklace✨* Price - 1215rs *FREE SHIPPING ALL OVER INDIA😊*,"M176B, Code-1224, N4SON, 9364067, No.91250"
2026-03-16,IMG-20260316-WA0025.jpg,,*✨Premium Quality Short Necklace✨* Price - 720rs *FREE SHIPPING ALL OVER INDIA😊*,720.0,252.0,252,972,970,*✨Premium Quality Short Necklace✨* Price - 970rs *FREE SHIPPING ALL OVER INDIA😊*,"M14OB, Code-1225, N360N, 8947024, No.8950"
2026-03-16,IMG-20260316-WA0024.jpg,,*✨Premium Quality Short Necklace✨* Price - 720rs *FREE SHIPPING ALL OVER INDIA😊*,720.0,252.0,252,972,970,*✨Premium Quality Short Necklace✨* Price - 970rs *FREE SHIPPING ALL OVER INDIA😊*,"M140B, Code-1226, N36ON, 8947023, No.8950"
2026-03-16,IMG-20260316-WA0023.jpg,,*fancy South ring* Price -230rs FREE SHIPPING ALL OVER INDIA😊,230.0,80.5,80,310,310,*fancy South ring* Price -310rs FREE SHIPPING ALL OVER INDIA😊,"Code-1227, SAC, M44A, N115N, 198029, No. 4300"
2026-03-16,IMG-20260316-WA0022.jpg,,*PREMIUM QUALITY MOTI TOP'S* Price -230rs FREE SHIPPING ALL OVER INDIA😊,230.0,80.5,80,310,310,*PREMIUM QUALITY MOTI TOP'S* Price -310rs FREE SHIPPING ALL OVER INDIA😊,"Code-1228, SAC, M4AA, N115N, 198029, No. 4300, Tops"
2026-03-16,IMG-20260316-WA0021.jpg,,*✨Premium Quality AD Stone Short Necklace✨* Price - 880rs *FREE SHIPPING ALL OVER INDIA😊*,880.0,308.0,308,1188,1190,*✨Premium Quality AD Stone Short Necklace✨* Price - 1190rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1229, SAC, M172B, N44ON, 8961056, No.91250"
2026-03-16,IMG-20260316-WA0020.jpg,,*✨Premium Quality traditional Short  Necklace✨* Price - 330rs *FREE SHIPPING ALL OVER INDIA😊*,330.0,115.5,115,445,445,*✨Premium Quality traditional Short  Necklace✨* Price - 445rs *FREE SHIPPING ALL OVER INDIA😊*,"M63A., Code-1230, SAC, N165N, 8913578, No.9400"
2026-03-16,IMG-20260316-WA0019.jpg,,*✨Premium Quality Traditional Short Necklace✨* Price - 330rs *FREE SHIPPING ALL OVER INDIA😊*,330.0,115.5,115,445,445,*✨Premium Quality Traditional Short Necklace✨* Price - 445rs *FREE SHIPPING ALL OVER INDIA😊*,"M63A_, N165N, Code-1231, 8913568, No.7400"
2026-03-16,IMG-20260316-WA0018.jpg,,*✨Premium Quality AD Stone Short Necklace✨* Price - 830rs *FREE SHIPPING ALL OVER INDIA😊*,830.0,290.5,290,1120,1120,*✨Premium Quality AD Stone Short Necklace✨* Price - 1120rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1232, SAC, M162B, N41SN, 8956023, No.91150"
2026-03-16,IMG-20260316-WA0017.jpg,,*✨Premium Quality AD Stone Short Necklace✨* Price - 500rs *FREE SHIPPING ALL OVER INDIA😊*,500.0,175.0,175,675,675,*✨Premium Quality AD Stone Short Necklace✨* Price - 675rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1233, M96B, NZS0N, 8927034, No.9600"
2026-03-17,VID-20260319-WA0008.mp4,,*Micro Gold Mangalsutra Set* Length- 38 Inch Price -410rs FREE SHIPPING ALL OVER INDIA😊,410.0,143.5,144,554,555,*Micro Gold Mangalsutra Set* Length- 38 Inch Price -555rs FREE SHIPPING ALL OVER INDIA😊,"Code-460, SAC, M78B, NZOSN, 7820045, No.9650, SAC, L-38 Inch"
2026-03-17,VID-20260319-WA0009.mp4,,*Micro Gold Mangalsutra Set* Length- 38 Inch Price -490rs FREE SHIPPING ALL OVER INDIA😊,490.0,171.5,172,662,660,*Micro Gold Mangalsutra Set* Length- 38 Inch Price -660rs FREE SHIPPING ALL OVER INDIA😊,"Code-456, SAC, M9AB, N24SN, 7830056, No.8750, SAC, L-38 Inch"
2026-03-17,IMG-20260317-WA0037.jpg,,*Micro Gold Mangalsutra Combo Set* Length- 36 Inch Price -630rs FREE SHIPPING ALL OVER INDIA😊,630.0,220.5,220,850,850,*Micro Gold Mangalsutra Combo Set* Length- 36 Inch Price -850rs FREE SHIPPING ALL OVER INDIA😊,"SAC, M120C, N315N, 658034, 4528067, No.4980, L - 36Inch"
2026-03-17,IMG-20260317-WA0038.jpg,,*Micro Gold Mangalsutra Combo Set* Length- 36 Inch Price -730 rs FREE SHIPPING ALL OVER INDIA😊,730.0,255.5,255,985,985,*Micro Gold Mangalsutra Combo Set* Length- 36 Inch Price -985 rs FREE SHIPPING ALL OVER INDIA😊,"SAC, M140C, N365N, 5612075, 4535078, N0.41180, L - 36Inch"
2026-03-17,IMG-20260316-WA0034.jpg,,*Micro Gold Mangalsutra Combo Set* Length- 36 Inch Price -840rs FREE SHIPPING ALL OVER INDIA😊,840.0,294.0,294,1134,1135,*Micro Gold Mangalsutra Combo Set* Length- 36 Inch Price -1135rs FREE SHIPPING ALL OVER INDIA😊,"M162C, N42ON, 4510067, 4512067, 4535077, No.1380, L - 36Inch"
2026-03-17,IMG-20260317-WA0039.jpg,,*Micro Gold Mangalsutra combo Set* Length- 36 Inch Price -650rs FREE SHIPPING ALL OVER INDIA😊,650.0,227.5,227,877,875,*Micro Gold Mangalsutra combo Set* Length- 36 Inch Price -875rs FREE SHIPPING ALL OVER INDIA😊,"Code-852, M126B, N325N, 7816078, 7823567, No.7850, L-36 Inch"
2026-03-17,IMG-20260313-WA0018.jpg,,*New Micro Gold  Mangalsutra* Length- 38 Inch Price -360rs FREE SHIPPING ALL OVER INDIA😊,360.0,126.0,126,486,485,*New Micro Gold  Mangalsutra* Length- 38 Inch Price -485rs FREE SHIPPING ALL OVER INDIA😊,"Code-1131, SAC, T69A., N1SON, 8618063, No.8550, L-38 inch"
2026-03-17,IMG-20260317-WA0040.jpg,,*PREMIUM QUALITY RAANI HAR COMBO SET* Length- 26 Inch Price -440rs FREE SHIPPING ALL OVER INDIA😊,440.0,154.0,154,594,595,*PREMIUM QUALITY RAANI HAR COMBO SET* Length- 26 Inch Price -595rs FREE SHIPPING ALL OVER INDIA😊,"M84B, N22ON, 4512068, 5612067, No.3580, 823, L-26 Inch"
2026-03-17,IMG-20260317-WA0041.jpg,,*Micro Gold Bormala Thushi Combo Set* Length- 26 Inch Price -400rs FREE SHIPPING ALL OVER INDIA😊,400.0,140.0,140,540,540,*Micro Gold Bormala Thushi Combo Set* Length- 26 Inch Price -540rs FREE SHIPPING ALL OVER INDIA😊,"Code-1071, MZ6B, NZOON, 337598, 5612067, No.8550"
2026-03-17,VID-20260317-WA0029.mp4,,*Micro Gold Mangalsutra Set* Length- 36Inch Price -500rs FREE SHIPPING ALL OVER INDIA😊,500.0,175.0,175,675,675,*Micro Gold Mangalsutra Set* Length- 36Inch Price -675rs FREE SHIPPING ALL OVER INDIA😊,"A'C, M9TA., NZS0N, 4530067, No.3700, SAC, L-Solnch, MicroGold"
2026-03-17,VID-20260317-WA0030.mp4,,*Micro Gold Mangalsutra Combo Set* Length- 36Inch Price -490 rs FREE SHIPPING ALL OVER INDIA😊,490.0,171.5,172,662,660,*Micro Gold Mangalsutra Combo Set* Length- 36Inch Price -660 rs FREE SHIPPING ALL OVER INDIA😊,"M94B, N24SN, 9030058, Nozzoo, SAC, L36Inch"
2026-03-17,VID-20260317-WA0028.mp4,,*Micro Gold Mangalsutra Set* Length- 34 Inch Price -380rs FREE SHIPPING ALL OVER INDIA😊,380.0,133.0,133,513,515,*Micro Gold Mangalsutra Set* Length- 34 Inch Price -515rs FREE SHIPPING ALL OVER INDIA😊,"SAC, M7SA:, NI9ON, 3420578, No.7540, SAC, L-34lnch, MicroGold"
2026-03-17,IMG-20260319-WA0010.jpg,,*Premium Quality Jondhale Thushi* Price -300 Rs FREE SHIPPING ALL OVER INDIA😊,300.0,105.0,105,405,405,*Premium Quality Jondhale Thushi* Price -405 Rs FREE SHIPPING ALL OVER INDIA😊,"5614087, No-5350, SAC, TS6B, N1SON), &lza} 321"
2026-03-17,IMG-20260319-WA0011.jpg,,*Micro Gold Mangalsutra combo Set* Length- 38 Inch Price-690rs FREE SHIPPING ALL OVER INDIA😊,690.0,241.5,241,931,930,*Micro Gold Mangalsutra combo Set* Length- 38 Inch Price-930rs FREE SHIPPING ALL OVER INDIA😊,"Code-1038, SAC, M132C, N345N, 7618045, 6716089, No.91000, L-38 inch"
2026-03-17,IMG-20260319-WA0012.jpg,,*Micro Gold Mangalsutra combo Set* Length- 38 Inch Price-700 rs FREE SHIPPING ALL OVER INDIA😊,700.0,245.0,245,945,945,*Micro Gold Mangalsutra combo Set* Length- 38 Inch Price-945 rs FREE SHIPPING ALL OVER INDIA😊,"Code-1037, SAC, M134C, N350N, 675078, 6711057, 6729056, No.81000, L38 inch"
2026-03-17,IMG-20260319-WA0013.jpg,,*Micro Gold Mangalsutra combo Set* Length- 38 Inch Price-620rs FREE SHIPPING ALL OVER INDIA😊,620.0,217.0,217,837,835,*Micro Gold Mangalsutra combo Set* Length- 38 Inch Price-835rs FREE SHIPPING ALL OVER INDIA😊,"Code-1036, SAC, M12OB, N31ON, 568039, 335586, 5623589, No.7900, L38 inch"
2026-03-18,IMG-20260318-WA0003.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"Code-1204, L20, M1O6B, N2Z5N, 7830045, No.6900"
2026-03-18,IMG-20260319-WA0043.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"Code-1203, L20, M1O6B, N2Z5N, 7830056, No.6900"
2026-03-18,IMG-20260319-WA0042.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code-1302, N2Z5N, 8930055, No.6900, L2O"
2026-03-18,IMG-20260319-WA0041.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code-1301, N2Z5N, 8930056, No.6900, L20"
2026-03-18,IMG-20260319-WA0040.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"Code-1300, M1O6B, N2Z5N, 8930056, No.7900, L20, Gram"
2026-03-18,IMG-20260319-WA0039.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code-1299, N2Z5N, SAC, 8930055, No.7900, L2O"
2026-03-18,IMG-20260319-WA0038.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"Code-1297, M1O6B, N2Z5N, 8930056, No.7900, L2o"
2026-03-18,IMG-20260319-WA0037.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"Code-1296, L20, M1O6B, N275N, 9030055, No.8900"
2026-03-18,IMG-20260319-WA0036.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code-1293, N275N, SAC, 7830056, No.7900, L2O"
2026-03-18,IMG-20260319-WA0035.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code-1292, N275N, SAC, 8930057, No.7900, E4e, L20"
2026-03-18,IMG-20260319-WA0034.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"Code-1291, M1O6B, N2Z5N, 8930056, No.7900, L2O"
2026-03-18,IMG-20260319-WA0033.jpg,,*1 Gm Forming  chain (men's)** Length- 24 Inch Price -1750rs FREE SHIPPING ALL OVER INDIA😊,1750.0,612.5,612,2362,2360,*1 Gm Forming  chain (men's)** Length- 24 Inch Price -2360rs FREE SHIPPING ALL OVER INDIA😊,"Code-1290, M340E, N875N, 89120056, No.93600, Sa€, L-24 Inch"
2026-03-18,IMG-20260319-WA0032.jpg,,*1 Gm Forming  chain (men's)** Length- 24 Inch Price -1600rs FREE SHIPPING ALL OVER INDIA😊,1600.0,560.0,560,2160,2160,*1 Gm Forming  chain (men's)** Length- 24 Inch Price -2160rs FREE SHIPPING ALL OVER INDIA😊,"M310E, Code- 1289, N8OON, 86102056, No.83200, L-24 Inch"
2026-03-18,IMG-20260319-WA0031.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code -1288, N2Z5N, SAC, 6830056, No.7900, L20"
2026-03-18,IMG-20260319-WA0030.jpg,,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 550 RS Free shipping all over India ☺️,550.0,192.5,192,742,740,*1 GM Forming Short  Mangalsutra* Length -20   Inch Price - 740 RS Free shipping all over India ☺️,"M1O6B, Code-1285, N275N, SAC, 8030056, No.7900, 1 Gram, L2O"
2026-03-19,VID-20260319-WA0029.mp4,,"✨ गुढीपाडव्याच्या हार्दिक शुभेच्छा ✨ नवीन वर्ष, नवीन स्वप्नं, नवीन यशाची सुरुवात! 💫 सोनेरी नात्यांसारखंच तुमचं आयुष्य उजळत राहो 💛 📍Sururarts Creation 📍 Nerul | Panvel | Ghatkopar",0.0,0.0,0,0,0,"✨ गुढीपाडव्याच्या हार्दिक शुभेच्छा ✨ नवीन वर्ष, नवीन स्वप्नं, नवीन यशाची सुरुवात! 💫 सोनेरी नात्यांसारखंच तुमचं आयुष्य उजळत राहो 💛 📍Sururarts Creation 📍 Nerul | Panvel | Ghatkopar","syrutigts, GUDI, 8108140424"
2026-03-19,IMG-20260319-WA0028.jpg,,*✨1 GM FORMING SHORT Necklace ✨* Price - 1450rs *FREE SHIPPING ALL OVER INDIA😊*,1450.0,507.4999999999999,507,1957,1955,*✨1 GM FORMING SHORT Necklace ✨* Price - 1955rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1234, SAC, M28OE, N72SN, 5784078, No.91650, 049"
2026-03-19,IMG-20260319-WA0027.jpg,,*✨Premium Quality  Rajwadi Mangalsutra ✨* Length - 40 Inch Price - 3800rs *FREE SHIPPING ALL OVER INDIA😊*,3800.0,1330.0,1330,5130,5130,*✨Premium Quality  Rajwadi Mangalsutra ✨* Length - 40 Inch Price - 5130rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1235, SAC, M740J, N19OON, 34280056, No.85600, L40 inch"
2026-03-19,IMG-20260319-WA0026.jpg,,*✨Premium Quality AD Stone saree Pin✨* Price - 280rs *FREE SHIPPING ALL OVER INDIA😊*,280.0,98.0,98,378,380,*✨Premium Quality AD Stone saree Pin✨* Price - 380rs *FREE SHIPPING ALL OVER INDIA😊*,"MSAA, Code-1236, N14ON, 7811045, No.9350"
2026-03-19,IMG-20260319-WA0025.jpg,,*✨Premium Quality AD Stone saree Pin✨* Price - 280rs *FREE SHIPPING ALL OVER INDIA😊*,280.0,98.0,98,378,380,*✨Premium Quality AD Stone saree Pin✨* Price - 380rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1237, SAC, MSAA, N14ON, 8911045, No.8350, 8 A"
2026-03-19,IMG-20260319-WA0024.jpg,,*✨Premium Quality  BRIDAL SET✨* Length -24 Inch (Adjustable Gonda) Price - 1200rs *FREE SHIPPING ALL OVER INDIA😊*,1200.0,420.0,420,1620,1620,*✨Premium Quality  BRIDAL SET✨* Length -24 Inch (Adjustable Gonda) Price - 1620rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1238, SAC, M234C, NGOON, 4935067, 8955023, No.81600, 8 A, 36388, L-24 Inch"
2026-03-19,IMG-20260319-WA0023.jpg,,*✨Premium Quality  BRIDAL SET ✨* Length -24 Inch (Adjustable Gonda) Price - 1200rs *FREE SHIPPING ALL OVER INDIA😊*,1200.0,420.0,420,1620,1620,*✨Premium Quality  BRIDAL SET ✨* Length -24 Inch (Adjustable Gonda) Price - 1620rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1240, SAC, M234C, N6OON, 8935067, No.81600, 5 A, L-24 Inch"
2026-03-19,IMG-20260319-WA0022.jpg,,*✨Premium Quality Heritage Short Necklace ✨* Price - 700rs *FREE SHIPPING ALL OVER INDIA😊*,700.0,245.0,245,945,945,*✨Premium Quality Heritage Short Necklace ✨* Price - 945rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1239, SAC, M136B, N3SON, 7844057, No.7900"
2026-03-19,IMG-20260319-WA0021.jpg,,*✨Premium Quality Heritage Short Necklace ✨* Price - 770rs *FREE SHIPPING ALL OVER INDIA😊*,770.0,269.5,270,1040,1040,*✨Premium Quality Heritage Short Necklace ✨* Price - 1040rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1241, SAC, MISOB, N385N, 8945067, No.8950"
2026-03-19,IMG-20260319-WA0020.jpg,,*✨Premium Quality Heritage Short Necklace ✨* Price - 650rs *FREE SHIPPING ALL OVER INDIA😊*,650.0,227.5,227,877,875,*✨Premium Quality Heritage Short Necklace ✨* Price - 875rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1242, M126B, N325N, 8936034, No.9750"
2026-03-19,IMG-20260319-WA0019.jpg,,*✨Premium Quality Heritage Short Necklace ✨* Price - 1550rs *FREE SHIPPING ALL OVER INDIA😊*,1550.0,542.5,542,2092,2090,*✨Premium Quality Heritage Short Necklace ✨* Price - 2090rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1243, SAC, M3O4C, N775N, 89116034, No.92350"
2026-03-19,IMG-20260319-WA0018.jpg,,*✨Premium Quality Heritage Short Necklace ✨* Price - 1230rs *FREE SHIPPING ALL OVER INDIA😊*,1230.0,430.5,430,1660,1660,*✨Premium Quality Heritage Short Necklace ✨* Price - 1660rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1244, SAC, M24OC, N615N, 7684066, No.81700"
2026-03-19,IMG-20260319-WA0017.jpg,,*✨Premium Quality Heritage Short Necklace ✨* Price - 950rs *FREE SHIPPING ALL OVER INDIA😊*,950.0,332.5,332,1282,1280,*✨Premium Quality Heritage Short Necklace ✨* Price - 1280rs *FREE SHIPPING ALL OVER INDIA😊*,"Code-1245, SAC, M184C, N475N, 9862045, No.91250"
2026-03-19,IMG-20260319-WA0016.jpg,,*✨ Finger Ring Adjustable ✨* Price - 280rs *FREE SHIPPING ALL OVER INDIA😊*,280.0,98.0,98,378,380,*✨ Finger Ring Adjustable ✨* Price - 380rs *FREE SHIPPING ALL OVER INDIA😊*,"T52B, Code-1246, N14ON, 575087, No-2280, Adjustable"
2026-03-19,IMG-20260319-WA0015.jpg,,*✨ Finger Ring Adjustable ✨* Price - 250rs *FREE SHIPPING ALL OVER INDIA😊*,250.0,87.5,88,338,340,*✨ Finger Ring Adjustable ✨* Price - 340rs *FREE SHIPPING ALL OVER INDIA😊*,"T44C, Code-1247, N125N, SAC, 567087, No-299, Adjustable"
2026-03-19,IMG-20260319-WA0014.jpg,,*✨ Matte South Mangalsutra ✨* Length -24 Inch Price - 320rs *FREE SHIPPING ALL OVER INDIA😊*,320.0,112.0,112,432,430,*✨ Matte South Mangalsutra ✨* Length -24 Inch Price - 430rs *FREE SHIPPING ALL OVER INDIA😊*,"TS8C}, NI6ON, Code-1248, 5612087, No-6340, {0a, L-24 inch, SAG, SAC, SAC, SAC, SAC, SAC, SAG, SAC, SAC"
2026-03-20,IMG-20260320-WA0001.jpg,,*1 GM FORMING FANCY BORMAL* Length- 24 Inch Price -450 rs FREE SHIPPING ALL OVER INDIA😊,450.0,157.5,158,608,610,*1 GM FORMING FANCY BORMAL* Length- 24 Inch Price -610 rs FREE SHIPPING ALL OVER INDIA😊,"Code-1101, T84C, N225N, 8425092, No.3599, L-24 inch, Bormal"
